"last_name, first_name",year,home_run,k_percent,barrel_batted_rate,hard_hit_percent,lack_of_run_support,p_unearned_run
"Gsellman, Robert",2017,17,14.9,5.0,32.5,False,16
"Guerra, Junior",2018,19,22.3,6.7,38.8,False,10
"Guthrie, Jeremy",2015,29,12.7,6.5,34.9,False,3
"Hamels, Cole",2015,22,24.4,4.4,33.4,False,2
"Hamels, Cole",2016,24,23.6,6.0,35.7,False,9
"Hamels, Cole",2017,18,17.1,5.4,36.0,False,5
"Hamels, Cole",2018,29,23.4,7.5,35.9,True,13
"Hamels, Cole",2019,17,23.2,7.6,41.3,True,4
"Hammel, Jason",2015,23,24.2,7.1,36.4,False,8
"Hammel, Jason",2016,25,20.8,7.2,37.2,False,6
"Hammel, Jason",2017,26,18.0,7.1,33.9,False,3
"Hammel, Jason",2018,18,15.8,8.3,39.5,False,6
"Happ, J.A.",2015,16,21.1,4.6,37.4,False,2
"Happ, J.A.",2016,22,20.5,7.4,37.2,False,3
"Happ, J.A.",2017,18,22.7,4.3,31.1,True,7
"Happ, J.A.",2018,27,26.4,8.8,34.0,False,9
"Happ, J.A.",2019,34,20.6,8.3,37.5,False,0
"Happ, J.A.",2020,8,21.4,5.1,34.3,True,0
"Happ, J.A.",2021,30,18.2,11.6,41.8,False,2
"Harang, Aaron",2015,26,14.4,7.0,37.0,False,7
"Haren, Dan",2015,31,17.2,6.4,33.7,True,4
"Harvey, Matt",2015,18,24.9,3.4,30.4,False,5
"Harvey, Matt",2018,27,19.8,8.0,40.0,False,2
"Harvey, Matt",2021,19,16.3,7.9,40.9,False,7
"Heaney, Andrew",2018,27,24.0,7.8,37.2,False,8
"Heaney, Andrew",2020,9,25.1,7.4,39.4,False,2
"Heaney, Andrew",2021,29,26.9,9.4,40.8,False,1
"Heaney, Andrew",2023,23,23.6,10.2,38.6,False,6
"Hellickson, Jeremy",2015,22,19.0,8.2,36.7,False,4
"Hellickson, Jeremy",2016,24,19.9,6.9,28.4,True,8
"Hellickson, Jeremy",2017,35,13.8,6.4,34.7,False,6
"Hendricks, Kyle",2015,17,22.6,3.5,29.2,True,3
"Hendricks, Kyle",2016,15,22.8,3.4,26.2,False,8
"Hendricks, Kyle",2017,17,21.6,4.4,29.3,False,2
"Hendricks, Kyle",2018,22,19.8,5.7,30.8,True,6
"Hendricks, Kyle",2019,19,20.5,5.4,31.5,True,10
"Hendricks, Kyle",2020,10,20.3,4.5,32.0,True,0
"Hendricks, Kyle",2021,31,16.7,8.4,33.0,False,5
"Hendricks, Kyle",2023,13,16.1,6.2,31.5,True,11
"Hernández, Félix",2015,23,23.2,4.2,34.6,False,1
"Hernández, Félix",2016,19,18.6,5.9,34.3,False,11
"Hernández, Félix",2018,27,18.3,8.4,38.5,False,11
"Heston, Chris",2015,16,18.9,4.9,36.6,True,4
"Hill, Rich",2017,18,30.1,7.0,29.1,False,1
"Hill, Rich",2018,20,27.4,7.8,36.2,False,3
"Hill, Rich",2021,21,22.7,8.9,34.8,True,2
"Hill, Rich",2022,15,20.7,8.2,34.0,False,8
"Hill, Rich",2023,23,19.5,10.1,39.9,False,10
"Holland, Derek",2017,31,16.6,8.2,39.5,False,13
"Holland, Derek",2018,19,23.2,6.6,35.4,True,6
"Houser, Adrian",2020,8,17.9,5.6,32.8,False,8
"Houser, Adrian",2021,12,17.5,5.0,36.0,False,10
"Hudson, Dakota",2019,22,18.0,6.8,38.8,False,15
"Hudson, Dakota",2022,9,13.1,6.0,40.4,False,2
"Hudson, Tim",2015,13,12.2,4.8,34.1,False,1
"Hughes, Phil",2015,29,14.4,7.6,40.6,False,0
"Hutchison, Drew",2015,22,19.4,6.3,34.8,False,10
"Irvin, Cole",2021,23,16.3,7.3,39.3,False,10
"Irvin, Cole",2022,25,17.3,9.6,39.5,True,7
"Irvin, Jake",2023,20,18.7,10.3,39.6,False,4
"Iwakuma, Hisashi",2015,18,21.5,5.5,34.2,False,2
"Iwakuma, Hisashi",2016,28,17.6,5.8,33.9,False,4
"Javier, Cristian",2020,11,25.2,6.4,29.3,False,0
"Javier, Cristian",2022,17,33.2,7.2,33.6,True,2
"Javier, Cristian",2023,25,23.1,9.4,38.3,False,3
"Jiménez, Ubaldo",2015,20,21.2,4.2,31.8,False,5
"Jiménez, Ubaldo",2016,16,19.6,5.0,32.3,False,7
"Jiménez, Ubaldo",2017,33,21.5,7.8,39.5,False,1
"Junis, Jakob",2018,32,21.6,8.6,35.6,False,8
"Junis, Jakob",2019,31,21.3,8.6,41.2,False,6
"Jurado, Ariel",2019,21,15.0,10.0,43.1,False,15
"Kaprielian, James",2021,19,24.5,9.3,42.3,False,1
